"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","Angels","49","210","167","50","9","1","14","37","34","38","43","5","1",".298",".435",".608","1.042",".426","6.8","10155"
"Christian Yelich","Brewers","55","241","206","64","12","1","13","39","38","31","49","9","2",".309",".403",".572",".975",".403","1.8","11477"
"Juan Soto","Nationals","57","243","202","59","12","1","13","39","40","39","48","3","1",".292",".406",".553",".959",".399","10.7","20123"
"Cody Bellinger","Dodgers","57","237","203","59","12","1","15","41","41","32","46","5","2",".289",".387",".580",".967",".395","3.9","15998"
"Alex Bregman","Astros","57","245","203","59","13","1","12","40","38","36","31","2","1",".288",".399",".539",".938",".392","16.9","17678"
"J.D. Martinez","Red Sox","54","231","203","61","12","1","14","35","40","24","52","1","0",".300",".374",".569",".943",".387","23.7","6184"
"Freddie Freeman","Braves","53","228","196","58","12","1","11","34","36","28","43","2","1",".298",".389",".546",".935",".386","25.5","5361"
"Aaron Judge","Yankees","46","202","167","44","8","1","12","33","30","31","62","2","1",".266",".385",".540",".926",".382","52.7","15640"
"Yordan Alvarez","Astros","46","190","165","46","9","0","12","28","33","23","47","1","0",".282",".371",".557",".927",".382","79.1","19556"
"Mookie Betts","Dodgers","56","248","213","62","14","1","11","45","31","31","35","7","2",".294",".384",".529",".913",".379","4.9","13611"
"Nolan Arenado","Rockies","56","239","212","63","12","1","13","36","42","23","37","1","1",".297",".365",".552",".917",".376","13.4","9777"
"Nelson Cruz","Twins","48","205","179","50","8","0","13","29","37","20","49","0","0",".280",".361",".549",".911",".375","61.6","2434"
"Anthony Rendon","Angels","50","216","186","54","12","1","10","32","35","25","31","1","1",".290",".377",".524",".901",".374","29.9","12861"
"Bryce Harper","Phillies","56","240","199","52","11","0","13","37","38","37","60","5","1",".263",".382",".517",".899",".373","20.0","11579"
"Joey Gallo","Rangers","49","198","166","38","8","1","14","30","32","29","74","2","1",".232",".353",".548",".901",".372","97.1","14128"
"Ronald Acuna Jr.","Braves","56","248","218","62","10","1","14","41","35","25","63","12","4",".283",".363",".529",".892",".372","1.6","18401"
"Josh Donaldson","Twins","53","228","191","50","10","0","12","33","35","34","53","1","1",".261",".376",".508",".883",".371","85.8","5038"
"Anthony Rizzo","Cubs","55","232","197","56","11","1","10","33","34","26","32","2","1",".284",".384",".500",".884",".370","82.0","3473"
"Kris Bryant","Cubs","56","240","205","56","12","1","11","37","31","28","54","2","1",".275",".375",".500",".874",".368","60.5","15429"
"Rafael Devers","Red Sox","56","239","220","65","15","1","12","39","38","17","45","2","2",".295",".347",".542",".889",".367","24.3","17350"
"George Springer","Astros","53","234","203","56","9","1","12","39","33","26","47","2","1",".276",".365",".511",".876",".367","46.6","12856"
"Pete Alonso","Mets","56","240","208","53","10","1","16","34","40","25","62","0","0",".255",".348",".535",".884",".366","32.5","19251"
