"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","LAA","157","676","540","157","28","3","47","119","115","118","148","11","4",".291",".427",".617","1.045",".431","6.0","10155"
"Juan Soto","WSN","154","676","555","167","34","3","39","109","109","113","123","11","4",".301",".419",".581","1.000",".416","3.7","20123"
"Freddie Freeman","ATL","157","687","584","176","38","3","34","104","105","89","125","7","3",".301",".397",".548",".945",".396","13.4","5361"
"Christian Yelich","MIL","156","686","583","166","31","3","37","106","104","92","163","18","6",".285",".387",".537",".925",".390","10.7","11477"
"Bryce Harper","PHI","154","677","554","148","31","2","38","104","105","111","158","13","5",".268",".393",".535",".928",".389","17.6","11579"
"Cody Bellinger","LAD","151","669","576","161","34","3","41","107","109","84","131","14","4",".280",".373",".562",".935",".389","17.6","15998"
"Mookie Betts","LAD","157","698","603","176","37","4","35","112","103","82","105","20","5",".293",".379",".541",".920",".387","4.1","13611"
"Alex Bregman","HOU","152","655","552","154","34","3","33","98","97","89","91","5","1",".279",".384",".530",".914",".387","47.3","17678"
"Ronald Acuna Jr.","ATL","156","680","586","164","31","3","39","114","102","82","183","29","8",".280",".374",".543",".917",".386","1.6","18401"
"Aaron Judge","NYY","134","581","489","126","22","1","37","92","88","81","178","4","2",".258",".370",".534",".904",".382","52.5","15640"
"Anthony Rendon","LAA","154","662","564","160","35","2","31","94","93","83","98","2","1",".284",".380",".517",".898",".380","38.6","12861"
"George Springer","TOR","144","622","537","148","24","2","35","96","90","71","127","5","2",".276",".368",".522",".889",".378","53.0","12856"
"Yordan Alvarez","HOU","122","523","452","125","26","2","30","76","85","63","135","3","1",".276",".366",".537",".903",".377","79.0","19556"
"Jose Ramirez","CLE","154","659","576","159","36","4","36","101","98","71","97","24","6",".275",".357",".540",".896",".376","10.9","13510"
"Trevor Story","COL","152","656","588","164","38","5","35","101","96","57","174","25","6",".279",".347",".539",".885",".372","12.2","12564"
"Eugenio Suarez","CIN","152","668","578","148","24","2","44","99","110","75","183","3","1",".257",".349",".534",".883",".371","63.5","12552"
"Marcell Ozuna","ATL","149","652","577","161","27","2","36","94","101","67","142","4","1",".280",".356",".521",".877",".370","44.1","10324"
"Fernando Tatis Jr.","SDP","152","675","598","163","32","5","37","105","102","64","191","24","7",".272",".349",".530",".879",".370","2.7","19709"
"Vladimir Guerrero Jr.","TOR","144","622","550","162","31","2","26","88","86","61","95","3","1",".295",".368",".502",".870",".369","45.3","19611"
"Giancarlo Stanton","NYY","130","560","485","123","20","1","37","84","87","65","164","3","1",".254",".348",".528",".876",".368","111.4","4949"
"Xander Bogaerts","BOS","149","640","567","164","33","2","29","91","85","61","119","7","2",".290",".361",".505",".866",".367","34.0","12161"
"J.D. Martinez","BOS","149","640","563","157","31","2","33","89","92","67","154","2","1",".278",".356",".514",".870",".365","93.7","6184"
"Anthony Rizzo","CHC","157","688","582","156","30","3","29","92","94","78","106","7","3",".268",".372",".479",".851",".364","106.2","3473"
"Jesse Winker","CIN","117","512","440","119","22","1","23","71","69","61","102","2","1",".270",".366",".484",".850",".364","208.5","13590"
"Luke Voit","NYY","109","469","411","108","17","1","27","67","68","48","119","0","0",".263",".349",".507",".856",".363","87.8","14811"
"Pete Alonso","NYM","151","660","572","144","27","1","41","93","107","67","174","2","1",".252",".344",".520",".865",".363","53.1","19251"
"Justin Turner","LAD","126","561","488","137","29","1","21","78","76","53","95","2","1",".282",".364",".479",".843",".362","200.3","5235"
"Josh Donaldson","MIN","136","582","488","121","25","1","28","83","76","84","139","3","1",".248",".364",".477",".841",".361","191.8","5038"
"Rhys Hoskins","PHI","141","620","517","124","26","2","33","86","91","87","149","3","1",".241",".358",".488",".846",".361","163.2","16472"
"Charlie Blackmon","COL","136","586","527","152","29","6","23","79","79","47","110","6","2",".288",".354",".496",".850",".361","88.2","7859"
"Manny Machado","SDP","156","689","611","166","30","2","39","93","110","68","121","9","3",".272",".345",".516",".862",".361","21.4","11493"
"Max Muncy","LAD","134","597","499","120","22","2","31","87","86","86","154","3","1",".241",".360",".480",".839",".360","102.1","13301"
"Paul Goldschmidt","STL","151","658","558","149","26","2","27","90","84","88","151","5","2",".267",".370",".466",".836",".359","91.4","9218"
"Eloy Jimenez","CHW","15","62","57","16","3","0","3","8","10","4","15","0","0",".279",".333",".521",".854",".359","249.4","17484"
"Corey Seager","LAD","149","662","595","167","38","2","30","92","98","57","126","2","1",".280",".346",".500",".846",".359","29.2","13624"
"Kris Bryant","CHC","146","638","545","141","28","3","27","85","86","73","155","3","1",".258",".359",".471",".831",".357","126.0","15429"
"Michael Conforto","NYM","151","660","566","146","29","1","31","90","90","78","160","6","2",".257",".356",".478",".834",".356","73.0","16376"
"Nolan Arenado","STL","152","666","589","159","29","2","36","87","100","66","98","2","1",".270",".343",".509",".852",".356","43.7","9777"
"Nelson Cruz","MIN","133","568","508","132","24","1","35","78","89","47","148","1","0",".260",".331",".517",".849",".355","92.5","2434"
"Nicholas Castellanos","CIN","146","640","579","157","37","4","31","88","93","49","160","3","1",".272",".333",".509",".842",".355","78.3","11737"
"Kyle Schwarber","WSN","121","534","459","110","20","2","32","74","84","65","148","3","1",".240",".339",".499",".838",".354","205.1","16478"
"Gleyber Torres","NYY","149","644","571","155","28","2","31","89","88","61","139","6","2",".271",".345",".489",".834",".354","61.6","16997"
"Jose Abreu","CHW","152","650","590","163","31","2","32","84","98","42","140","2","1",".277",".336",".500",".836",".353","41.5","15676"
"Josh Bell","WSN","136","598","521","137","25","2","29","79","87","67","130","2","1",".263",".349",".487",".837",".353","136.4","13145"
"C.J. Cron","COL","123","530","476","127","25","2","28","69","81","38","125","2","1",".266",".332",".503",".835",".353","171.1","12546"
"Yasiel Puig","","62","266","239","65","12","1","12","38","36","23","52","7","2",".272",".340",".490",".831",".353","527.7","14225"
"Shohei Ohtani","LAA","115","495","437","116","23","3","23","74","64","50","137","13","4",".265",".343",".488",".831",".353","154.1","19755"
"Rafael Devers","BOS","147","633","576","158","37","2","31","88","88","48","138","6","2",".274",".332",".506",".838",".353","41.4","17350"
"DJ LeMahieu","NYY","152","658","595","177","27","3","21","90","77","54","96","5","2",".298",".358",".458",".816",".352","27.8","9874"
"Jose Altuve","HOU","154","662","595","170","31","3","24","93","84","55","110","14","5",".286",".352",".467",".819",".352","92.4","5417"
"Trea Turner","WSN","152","669","605","173","32","6","23","100","79","54","128","35","8",".286",".348",".474",".821",".351","7.7","16252"
"Joey Gallo","TEX","151","633","533","115","24","2","40","88","98","88","228","6","2",".215",".333",".495",".828",".349","142.6","14128"
"Yoenis Cespedes","","53","231","209","54","10","1","14","31","36","18","56","1","1",".258",".322",".512",".834",".349","596.6","13110"
"Mike Moustakas","CIN","152","668","597","151","29","1","40","89","103","59","129","3","1",".253",".325",".506",".830",".349","118.7","4892"
"A.J. Pollock","LAD","131","583","526","139","28","2","31","85","88","43","131","11","3",".264",".326",".501",".828",".349","202.3","9256"
"Jorge Soler","KCR","143","603","524","128","24","1","33","79","91","66","176","2","1",".244",".336",".482",".818",".348","141.7","14221"
"Tommy Pham","SDP","134","596","514","136","24","3","20","83","69","72","133","18","5",".264",".360",".440",".800",".348","137.1","2967"
"Ketel Marte","ARI","154","671","608","174","34","6","21","89","84","52","94","8","3",".286",".346",".468",".814",".348","76.6","13613"
"Eddie Rosario","CLE","130","555","513","143","26","3","29","72","85","34","88","5","2",".279",".322",".507",".829",".347","107.2","12155"
"Bo Bichette","TOR","149","643","589","168","39","3","23","93","79","45","141","20","6",".284",".338",".478",".815",".347","25.1","19612"
"Joc Pederson","CHC","131","575","495","118","24","2","30","76","84","65","137","3","1",".238",".337",".475",".812",".347","230.7","11899"
"Ozzie Albies","ATL","151","659","599","168","35","5","25","92","87","47","122","16","4",".280",".337",".481",".818",".347","35.7","16556"
"Gary Sanchez","NYY","109","429","377","88","15","0","28","60","66","42","125","1","0",".233",".321",".501",".821",".347","152.9","11442"
"J.T. Realmuto","PHI","138","561","504","135","25","3","26","77","78","43","127","8","2",".268",".333",".482",".815",".346","48.1","11739"
"Ryan Braun","","52","224","204","56","12","1","10","31","30","15","43","4","1",".276",".331",".485",".817",".346","600.9","3410"
"Daniel Vogelbach","MIL","39","172","144","34","6","0","8","21","24","25","41","0","0",".237",".351",".450",".802",".346","598.7","14130"
"Andrew McCutchen","PHI","134","591","510","130","25","2","24","79","75","71","129","8","3",".254",".349",".451",".801",".346","207.7","9847"
"Matt Olson","OAK","146","617","534","125","26","1","35","81","90","71","171","2","1",".235",".332",".486",".817",".346","86.4","14344"
"Joey Votto","CIN","144","633","534","137","27","2","20","82","72","89","126","3","1",".256",".366",".426",".792",".346","396.5","4314"
"Max Kepler","MIN","146","624","544","135","30","3","28","85","79","68","111","5","2",".248",".337",".472",".809",".346","197.7","12144"
"Matt Chapman","OAK","151","638","561","134","30","3","34","86","89","65","169","2","1",".239",".324",".490",".814",".345","115.9","16505"
"Yasmani Grandal","CHW","136","538","450","104","18","1","26","71","73","79","140","2","1",".231",".348",".449",".797",".345","131.4","11368"
"Jeff McNeil","NYM","154","674","602","170","35","3","19","86","80","51","94","8","3",".283",".351",".447",".798",".344","96.7","15362"
"Brandon Lowe","TBR","131","559","493","122","27","3","27","74","78","55","160","6","2",".248",".330",".478",".808",".344","71.6","18882"
"Marcus Semien","TOR","149","643","570","150","29","2","27","89","82","64","124","10","4",".263",".338",".463",".801",".343","124.0","12533"
"Brandon Nimmo","NYM","120","525","440","108","21","3","16","71","56","71","129","6","2",".246",".362",".421",".783",".343","264.0","12927"
"Wander Franco","TBR","102","435","393","113","23","3","12","55","52","35","38","8","3",".289",".349",".455",".804",".343","999.0","sa3007033"
"Aaron Hicks","NYY","134","581","493","119","23","2","24","81","68","80","124","6","2",".242",".350",".444",".793",".343","235.3","5297"
"Greg Bird","","19","84","73","18","4","0","4","10","12","10","21","0","0",".242",".335",".468",".803",".343","600.6","14131"
"Trey Mancini","BAL","131","551","495","132","23","2","24","71","69","46","128","1","0",".266",".335",".467",".802",".343","156.8","15149"
"Carlos Correa","HOU","151","649","574","151","30","1","28","85","89","64","150","3","1",".264",".339",".464",".803",".342","121.2","14162"
"Hunter Renfroe","BOS","112","480","432","104","21","1","31","66","73","39","134","3","1",".241",".309",".507",".816",".342","445.1","15464"
"Edwin Encarnacion","","40","175","154","37","7","0","10","23","26","17","41","1","0",".237",".321",".484",".805",".342","596.5","2151"
"Brandon Belt","SFG","123","530","450","109","25","3","19","68","64","71","121","3","1",".243",".349",".440",".789",".341","491.7","10264"
"Mitch Haniger","SEA","134","564","492","122","24","2","26","72","71","58","140","5","2",".247",".336",".459",".795",".341","223.8","14274"
"Francisco Lindor","NYM","157","688","617","164","32","2","31","93","92","58","112","18","6",".266",".332",".473",".805",".341","18.7","12916"
"Austin Meadows","TBR","117","497","442","112","24","3","22","66","66","46","122","10","3",".254",".328",".474",".802",".340","77.5","15672"
"Yoan Moncada","CHW","147","629","554","141","27","4","25","84","79","66","185","10","3",".255",".337",".456",".793",".340","83.5","17232"
"Will Smith","LAD","94","382","333","80","17","1","19","51","55","39","96","2","1",".239",".328",".468",".796",".339","105.0","19197"
"Justin Upton","LAA","133","572","500","119","21","1","30","78","79","60","165","4","1",".239",".327",".465",".792",".339","348.2","5222"
"Mark Canha","OAK","139","590","504","121","26","2","22","75","67","67","137","4","1",".241",".344",".435",".779",".338","265.1","11445"
"Willson Contreras","CHC","113","456","399","101","19","2","17","58","58","43","116","3","1",".252",".339",".442",".780",".337","120.3","11609"
"Miguel Sano","MIN","149","638","555","123","24","1","38","87","96","74","244","1","0",".221",".317",".477",".793",".336","209.6","12164"
