"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","NYM","15","8","2.78","32","32","0","201.0","149","62","21","277","51","1.00","12.43","2.31","2.70","6.5","6.3","4.3","10954"
"Shane Bieber","CLE","13","9","3.30","31","31","0","195.0","164","71","25","246","48","1.09","11.37","2.21","3.19","5.2","5.5","9.8","19427"
"Gerrit Cole","NYY","14","9","3.57","32","32","0","201.0","163","80","31","263","58","1.10","11.76","2.60","3.55","5.1","5.0","7.3","13125"
"Yu Darvish","SDP","13","8","3.42","31","31","0","189.0","155","72","23","236","57","1.12","11.21","2.71","3.34","4.6","4.4","16.5","13074"
"Max Scherzer","WSN","12","8","3.62","29","29","0","179.0","149","72","26","231","52","1.12","11.63","2.61","3.50","4.6","4.3","24.8","3137"
"Brandon Woodruff","MIL","12","9","3.51","31","31","0","185.0","158","72","23","218","58","1.17","10.63","2.80","3.53","4.5","4.3","32.0","16162"
"Luis Castillo","CIN","13","9","3.56","31","31","0","187.0","162","74","22","227","67","1.22","10.91","3.22","3.50","4.5","4.5","28.0","15689"
"Trevor Bauer","LAD","14","8","3.66","31","31","0","195.0","167","80","26","234","64","1.18","10.78","2.96","3.72","4.3","3.9","15.5","12703"
"Aaron Nola","PHI","13","9","3.69","31","31","0","190.0","169","78","24","219","66","1.23","10.38","3.12","3.69","4.1","4.0","21.8","16149"
"Walker Buehler","LAD","13","7","3.52","29","29","0","172.0","147","67","22","206","53","1.16","10.79","2.78","3.52","4.0","3.7","22.0","19374"
"German Marquez","COL","11","12","4.54","31","31","0","192.0","203","97","28","198","57","1.35","9.29","2.65","4.07","3.7","3.6","197.2","15038"
"Stephen Strasburg","WSN","11","9","3.99","28","28","0","163.0","155","72","22","171","47","1.25","9.48","2.62","3.89","3.7","3.1","69.0","10131"
"Clayton Kershaw","LAD","13","8","3.50","29","29","0","175.0","161","68","23","188","44","1.17","9.68","2.24","3.62","3.6","3.7","32.4","2036"
"Patrick Corbin","WSN","12","10","4.01","31","31","0","190.0","186","85","26","193","62","1.30","9.14","2.94","4.02","3.6","3.5","135.8","9323"
"Charlie Morton","ATL","12","8","3.77","29","29","0","168.0","155","70","19","181","55","1.25","9.68","2.96","3.74","3.4","3.4","110.8","4676"
